N;Formato;Famiglia;Spessore mm;Toll. verde ±;Toll. gialla ±;Larghezza/Lato/Ø mm;Toll. largh. ±;Uova per kg farina;Tipo farina;Forza W;Idratazione %;Tempo impasto min;Riposo minimo min;Riposo ottimale min;Temp. lavorazione °C;Temp. ambiente rilevata °C;Umidità ambiente %;Peso ripieno g;Toll. peso ±;Giri e pieghe;Temp. burro °C;Riposo tra i giri min;Pezzi per kg;Scarto atteso %;Cottura min;Cottura °C;Errore più frequente;Conseguenza dell'errore;Come si riconosce a occhio;Come si recupera;Rilevato da (RP/BG/GPC);Data rilevazione;Rilevazione n (1/2/3);Stato (BOZZA/VALIDATA);Seconda firma
7;Garganello;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
7;Garganello;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
7;Garganello;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
8;Strichetto;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
8;Strichetto;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
8;Strichetto;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
9;Gramigna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
9;Gramigna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
9;Gramigna;liscia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
10;Tortellino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
10;Tortellino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
10;Tortellino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
11;Cappelletto;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
11;Cappelletto;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
11;Cappelletto;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
12;Tortellone;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
12;Tortellone;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
12;Tortellone;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
13;Anolino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
13;Anolino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
13;Anolino;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
14;Cappellaccio;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
14;Cappellaccio;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
14;Cappellaccio;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
15;Raviolo;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
15;Raviolo;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
15;Raviolo;ripiena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
16;Pasta sfoglia classica;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
16;Pasta sfoglia classica;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
16;Pasta sfoglia classica;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
17;Croissant sfogliato;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
17;Croissant sfogliato;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
17;Croissant sfogliato;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
18;Strudel tirato a mano;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
18;Strudel tirato a mano;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
18;Strudel tirato a mano;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
19;Pasta phyllo;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
19;Pasta phyllo;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
19;Pasta phyllo;sottile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
20;Sfogliatella riccia;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;BOZZA;
20;Sfogliatella riccia;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;BOZZA;
20;Sfogliatella riccia;laminata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;BOZZA;
